signal_ts,entry_ts,direction,structural_stop,atr_buffer,stop,stop_distance,ref_close,atr15,spread,zone_id,zone_lo,zone_hi,zone_touches,setup,session,regime,bars_to_retest,retest_completed,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2016-02-17 11:00:00+00:00,2016-02-17 11:15:00+00:00,1,1197.1,1.12,1195.979,8.367,1204.347,2.241,0.3047,181,1197.1,1202.906,2,retest,london,bull,4,True,0.6718,0.1695,0.1587,0.8305,2.649
2016-03-09 15:00:00+00:00,2016-03-09 15:15:00+00:00,1,1243.07,1.374,1241.696,6.263,1247.958,2.749,0.3201,190,1246.072,1255.905,2,retest,overlap,bull,9,True,0.6392,0.0325,0.3284,0.9675,2.479
2016-03-09 17:00:00+00:00,2016-03-09 17:15:00+00:00,1,1246.072,1.63,1244.442,10.238,1254.679,3.261,0.311,190,1246.072,1255.905,2,retest,newyork,bull,4,True,0.275,0.2552,0.4697,0.7448,3.839
2016-03-09 19:15:00+00:00,2016-03-09 19:30:00+00:00,1,1246.072,1.388,1244.684,8.916,1253.601,2.776,0.3436,190,1246.072,1255.905,2,retest,newyork,bull,8,True,0.0909,0.1003,0.8089,0.8997,1.75
2016-04-18 14:15:00+00:00,2016-04-18 14:30:00+00:00,1,1232.511,0.978,1231.533,3.136,1234.669,1.956,0.2997,189,1233.078,1239.811,3,retest,overlap,bull,8,True,0.2983,0.1873,0.5144,0.8127,2.514
2016-04-19 14:45:00+00:00,2016-04-19 15:00:00+00:00,1,1246.402,1.119,1245.283,8.467,1253.75,2.239,0.2741,193,1246.402,1252.828,4,retest,overlap,bull,6,True,0.2145,0.1131,0.6724,0.8869,2.17
2016-04-19 18:15:00+00:00,2016-04-19 18:30:00+00:00,1,1246.402,0.947,1245.455,7.181,1252.635,1.894,0.3192,193,1246.402,1252.828,4,retest,newyork,bull,8,True,0.294,0.0017,0.7043,0.9983,3.247
2016-04-20 13:30:00+00:00,2016-04-20 13:45:00+00:00,1,1246.402,0.931,1245.471,7.284,1252.755,1.861,0.2889,193,1246.402,1252.828,4,retest,overlap,bull,2,True,0.2465,0.2953,0.4581,0.7047,2.172
2016-04-20 14:30:00+00:00,2016-04-20 14:45:00+00:00,1,1246.402,1.021,1245.381,7.72,1253.101,2.042,0.3043,193,1246.402,1252.828,4,retest,overlap,bull,3,True,0.5895,0.285,0.1256,0.715,2.154
2016-04-20 17:45:00+00:00,2016-04-20 18:00:00+00:00,1,1246.402,0.954,1245.448,7.107,1252.555,1.908,0.3405,193,1246.402,1252.828,4,retest,newyork,bull,3,True,0.1029,0.0335,0.8636,0.9665,1.06
2016-04-20 19:45:00+00:00,2016-04-20 20:00:00+00:00,1,1242.479,1.115,1241.364,3.656,1245.02,2.231,0.3468,193,1246.402,1252.828,4,retest,newyork,bull,6,True,0.8124,0.1853,0.0024,0.8147,2.327
2016-04-20 20:45:00+00:00,2016-04-20 22:00:00+00:00,1,1238.279,0.939,1237.34,6.94,1244.28,1.878,0.4123,196,1238.279,1244.681,3,retest,newyork,bull,4,True,0.2418,0.0969,0.6613,0.9031,0.687
2016-04-21 14:00:00+00:00,2016-04-21 14:15:00+00:00,1,1247.81,1.924,1245.886,7.834,1253.72,3.848,0.3361,199,1256.405,1264.471,4,retest,overlap,bull,8,True,0.7791,0.1275,0.0934,0.8725,5.731
2016-04-21 14:45:00+00:00,2016-04-21 15:00:00+00:00,1,1246.402,1.957,1244.445,6.196,1250.641,3.914,0.3209,193,1246.402,1252.828,4,retest,overlap,bull,3,True,0.1617,0.3186,0.5197,0.6814,3.068
2016-04-22 13:45:00+00:00,2016-04-22 14:00:00+00:00,1,1238.489,1.24,1237.248,6.761,1244.009,2.481,0.3298,187,1238.489,1245.865,8,retest,overlap,bull,7,True,0.6707,0.3225,0.0069,0.6775,3.787
2016-06-10 15:30:00+00:00,2016-06-10 15:45:00+00:00,1,1267.314,1.047,1266.267,4.077,1270.345,2.093,0.3063,209,1267.314,1273.556,4,retest,newyork,bull,8,True,0.2133,0.075,0.7117,0.925,1.833
2016-06-13 16:15:00+00:00,2016-06-13 16:30:00+00:00,1,1277.56,1.158,1276.402,8.124,1284.526,2.316,0.3177,211,1277.56,1283.986,3,retest,newyork,bull,3,True,0.7006,0.1376,0.1618,0.8624,1.885
2016-06-13 17:45:00+00:00,2016-06-13 18:00:00+00:00,1,1277.56,1.078,1276.482,5.808,1282.29,2.156,0.3037,211,1277.56,1283.986,3,retest,newyork,bull,2,True,0.3897,0.0647,0.5456,0.9353,2.309
2016-06-15 19:00:00+00:00,2016-06-15 19:15:00+00:00,1,1283.431,1.416,1282.015,11.146,1293.161,2.832,0.3673,233,1285.873,1291.344,2,retest,newyork,bull,3,True,0.5504,0.0591,0.3905,0.9409,3.036
2016-06-17 15:30:00+00:00,2016-06-17 15:45:00+00:00,1,1285.049,1.291,1283.758,5.564,1289.322,2.582,0.3131,233,1285.873,1291.344,2,retest,newyork,bull,6,True,0.9938,0.0062,0.0,0.9938,2.91
2016-06-20 14:30:00+00:00,2016-06-20 14:45:00+00:00,1,1274.272,1.102,1273.171,8.649,1281.82,2.203,0.3168,234,1274.272,1280.665,3,retest,overlap,bull,10,True,0.774,0.0256,0.2004,0.9744,2.971
2016-06-21 11:30:00+00:00,2016-06-21 11:45:00+00:00,1,1269.423,0.979,1268.445,3.964,1272.409,1.958,0.2647,234,1274.234,1280.703,4,retest,london,bull,7,True,0.3307,0.0297,0.6396,0.9703,2.528
2016-07-07 18:00:00+00:00,2016-07-07 18:15:00+00:00,1,1355.563,1.154,1354.409,5.807,1360.216,2.308,0.2961,238,1355.563,1360.596,2,retest,newyork,bull,5,True,0.8185,0.0453,0.1362,0.9547,2.628
2016-07-07 20:15:00+00:00,2016-07-07 20:30:00+00:00,1,1355.563,0.933,1354.63,5.021,1359.65,1.867,0.3415,238,1355.563,1360.596,2,retest,newyork,bull,7,True,0.5588,0.1698,0.2715,0.8302,0.536
2016-07-07 20:45:00+00:00,2016-07-07 22:00:00+00:00,1,1355.563,0.961,1354.602,6.843,1361.445,1.923,0.4921,238,1355.563,1360.596,2,retest,newyork,bull,1,True,0.3463,0.0,0.6537,1.0,1.064
