signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held,structural_stop,atr_buffer,stop_distance,atr15,spread,zone_lo,zone_hi,zone_touches,regime,bars_to_retest,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2016-06-17 14:00:00+00:00,2016-06-17 14:15:00+00:00,2016-06-19 22:00:00+00:00,BUY,overlap,rejection,233,1293.231,1284.85,1309.993,1284.8,stop,8.381,2.9549,-24.91,-1.006,9881.22,27.0,1285.873,1.023,8.176,2.046,0.3022,1285.873,1291.344,2,bull,,0.727,0.0972,0.1758,0.9028,2.525
2016-06-20 14:30:00+00:00,2016-06-20 14:45:00+00:00,2016-06-21 11:03:00+00:00,BUY,overlap,rejection,234,1282.062,1273.171,1299.844,1273.121,stop,8.891,2.7784,-24.84,-1.006,9856.37,,1274.272,1.102,8.649,2.203,0.3168,1274.272,1280.665,3,bull,,0.774,0.0256,0.2004,0.9744,2.971
2016-07-07 16:45:00+00:00,2016-07-07 17:00:00+00:00,2016-07-08 12:30:00+00:00,BUY,newyork,rejection,238,1361.281,1352.033,1379.777,1351.983,stop,9.248,2.6645,-24.77,-1.005,9831.6,74.0,1353.251,1.218,9.046,2.436,0.3091,1355.563,1360.596,2,bull,,0.7085,0.2656,0.0258,0.7344,3.676
2016-07-08 17:45:00+00:00,2016-07-08 18:00:00+00:00,2016-07-11 13:14:00+00:00,BUY,newyork,rejection,238,1360.9,1351.335,1380.03,1351.285,stop,9.565,2.5697,-24.71,-1.005,9806.89,,1352.975,1.64,9.314,3.28,0.3339,1355.563,1360.596,2,bull,,0.7219,0.2696,0.0084,0.7304,2.491
2016-07-12 10:15:00+00:00,2016-07-12 10:30:00+00:00,2016-07-12 11:05:00+00:00,BUY,london,rejection,246,1353.732,1348.032,1365.132,1347.982,stop,5.7,4.3013,-24.73,-1.009,9782.16,,1348.86,0.828,5.514,1.656,0.2837,1348.86,1353.001,2,bull,,0.8423,0.1214,0.0364,0.8786,1.1
2016-08-04 10:30:00+00:00,2016-08-04 10:45:00+00:00,2016-08-04 12:46:00+00:00,BUY,london,rejection,246,1353.391,1348.207,1363.759,1363.759,target,5.184,4.7175,48.91,2.0,9831.07,,1348.86,0.653,5.003,1.305,0.279,1348.86,1353.001,2,bull,,0.6793,0.3207,0.0,0.6793,1.944
2016-08-10 13:30:00+00:00,2016-08-10 13:45:00+00:00,2016-08-10 14:18:00+00:00,BUY,overlap,rejection,246,1353.45,1346.869,1366.612,1346.819,stop,6.581,3.7346,-24.76,-1.008,9806.31,,1347.788,0.919,6.33,1.838,0.2771,1347.788,1352.405,3,bull,,0.15,0.119,0.7311,0.881,2.951
2016-08-11 14:00:00+00:00,2016-08-11 14:15:00+00:00,2016-08-11 18:02:00+00:00,BUY,overlap,rejection,248,1350.878,1342.913,1366.808,1342.863,stop,7.965,3.0779,-24.67,-1.006,9781.64,,1343.909,0.996,7.76,1.992,0.2905,1343.935,1348.931,2,bull,,0.7333,0.2667,0.0,0.7333,5.759
2016-09-16 17:15:00+00:00,2016-09-16 17:30:00+00:00,2016-09-18 22:00:00+00:00,SELL,newyork,rejection,260,1307.098,1311.62,1298.054,1311.67,stop,4.522,5.4078,-24.72,-1.011,9756.91,14.0,1310.797,0.823,4.35,1.646,0.2775,1307.948,1310.797,2,bull,,0.6477,0.2059,0.1464,0.1464,1.851
2016-09-27 14:00:00+00:00,2016-09-27 14:15:00+00:00,2016-09-28 07:08:00+00:00,BUY,overlap,rejection,259,1328.611,1323.445,1338.943,1323.395,stop,5.166,4.7217,-24.63,-1.01,9732.28,,1324.386,0.941,4.97,1.882,0.2658,1324.386,1327.255,2,bull,,0.4722,0.1296,0.3983,0.8704,2.551
2016-11-28 13:30:00+00:00,2016-11-28 13:45:00+00:00,2016-11-30 16:17:00+00:00,SELL,overlap,rejection,299,1187.971,1196.27,1171.373,1171.373,target,8.299,2.9318,48.66,2.0,9780.94,,1195.242,1.028,8.118,2.056,0.2411,1189.03,1195.242,2,bear,,0.3147,0.5662,0.1191,0.1191,1.734
2016-12-12 18:15:00+00:00,2016-12-12 18:30:00+00:00,2016-12-14 19:12:00+00:00,SELL,newyork,rejection,303,1163.679,1169.373,1152.291,1152.291,target,5.694,4.2944,48.9,2.0,9829.85,,1168.435,0.938,5.475,1.877,0.273,1164.122,1168.435,2,bear,,0.4281,0.4392,0.1328,0.1328,2.301
2017-01-10 18:30:00+00:00,2017-01-10 18:45:00+00:00,2017-01-11 14:59:00+00:00,BUY,newyork,rejection,319,1187.772,1180.713,1201.89,1180.663,stop,7.059,3.4813,-24.75,-1.007,9805.1,,1181.655,0.942,6.882,1.884,0.2603,1181.655,1186.539,2,bear,,0.8059,0.0151,0.179,0.9849,1.986
2017-01-11 17:30:00+00:00,2017-01-11 17:45:00+00:00,2017-01-12 08:47:00+00:00,BUY,newyork,rejection,319,1186.832,1176.9,1206.696,1206.696,target,9.932,2.4681,49.03,2.0,9854.13,,1178.335,1.435,9.765,2.87,0.2547,1181.655,1186.539,2,bear,,0.611,0.1907,0.1983,0.8093,4.082
2017-01-20 19:15:00+00:00,2017-01-20 19:30:00+00:00,2017-01-25 06:01:00+00:00,BUY,newyork,rejection,323,1211.032,1202.888,1227.32,1202.838,stop,8.144,3.025,-24.79,-1.006,9829.34,,1203.975,1.087,8.012,2.174,0.2483,1205.703,1210.069,2,bear,,0.8053,0.1292,0.0655,0.8708,4.105
2017-04-03 17:30:00+00:00,2017-04-03 17:45:00+00:00,2017-04-05 12:15:00+00:00,BUY,newyork,rejection,342,1253.282,1249.161,1261.524,1249.111,stop,4.121,5.963,-24.87,-1.012,9804.47,162.0,1249.716,0.556,3.929,1.111,0.2306,1249.716,1252.391,3,bear,,0.9449,0.0289,0.0261,0.9711,0.899
2017-04-10 17:45:00+00:00,2017-04-10 18:00:00+00:00,2017-04-11 13:04:00+00:00,BUY,newyork,rejection,342,1253.072,1249.017,1261.182,1261.182,target,4.055,6.0447,49.02,2.0,9853.49,,1249.716,0.699,3.851,1.398,0.262,1249.716,1252.391,3,bull,,0.9687,0.0158,0.0154,0.9842,1.294
